time, x, y, z
0.00000, 0.09375, -5.55469, -1.66406 
0.00031, 1.27344, -7.82031, 2.76562 
0.00063, 0.25000, -3.14844, 3.93750 
0.00094, 0.73438, 2.77344, 3.46094 
0.00125, -0.16406, 7.29688, 2.78125 
0.00156, -0.40625, 8.81250, 0.75000 
0.00187, -1.09375, 6.18750, -0.14844 
0.00219, -0.25000, 1.01562, -2.04688 
0.00250, -0.25000, 1.01562, -2.04688 
0.00281, -0.03125, -4.50000, -1.57812 
0.00313, 0.75000, -7.94531, -0.93750 
0.00344, 1.37500, -8.16406, 2.00000 
0.00375, 0.68750, -3.72656, 3.53125 
0.00406, 0.23438, 1.43750, 3.97656 
0.00438, 0.46094, 6.87500, 3.01562 
0.00469, -0.75781, 8.75000, 1.30469 
0.00500, -0.75000, 6.92969, -0.47656 
0.00531, -0.39062, 1.80469, -1.66406 
0.00562, -0.28125, -3.89844, -1.71875 
0.00594, 0.28125, -7.98438, -0.97656 
0.00625, 1.24219, -8.72656, 1.34375 
0.00656, 0.88281, -4.44531, 3.25000 
0.00688, 0.21094, 0.21094, 3.77344 
0.00719, 0.67969, 6.61719, 3.53125 
0.00750, -0.91406, 8.34375, 2.11719 
0.00781, -0.75000, 7.74219, -0.35938 
0.00813, -0.39844, 2.55469, -1.66406 
0.00844, -0.35156, -3.10938, -1.86719 
0.00875, 0.48438, -7.95312, -1.00781 
0.00906, 0.70312, -9.02344, 1.00000 
0.00937, -0.49219, -5.78906, 2.79688 
0.00969, 0.45312, -0.84375, 3.04688 
0.01000, -0.99219, 6.00000, 4.46094 
0.01031, 0.03125, 8.18750, 1.39844 
0.01063, -0.23438, 8.11719, -0.10938 
0.01094, -0.61719, 3.49219, -1.07031 
0.01125, -0.04688, -2.09375, -1.67969 
0.01156, 0.60156, -7.30469, -1.24219 
0.01188, 0.80469, -8.83594, 0.69531 
0.01219, 0.75000, -6.78125, 2.89062 
0.01250, 1.80469, -1.53906, 3.88281 
0.01281, 0.85156, 4.51562, 3.57031 
0.01312, -1.21094, 8.41406, 2.98438 
0.01344, 0.60156, 8.64844, -0.28125 
0.01375, -1.41406, 4.98438, -0.25000 
0.01406, -0.28125, -0.51562, -2.24219 
0.01438, -0.28125, -0.51562, -2.24219 
0.01469, 0.30469, -6.31250, -1.00781 
0.01500, 0.18750, -8.26562, -0.29688 
0.01531, 1.34375, -7.90625, 2.44531 
0.01562, 0.83594, -2.61719, 3.27344 
0.01594, 0.25000, 3.67188, 3.95312 
0.01625, 0.32812, 7.59375, 2.86719 
0.01656, -0.76562, 9.09375, 1.10156 
0.01688, -0.84375, 5.69531, -0.68750 
0.01719, -0.32031, 0.42188, -2.28125 
0.01750, -0.21875, -5.29688, -1.60156 
0.01781, 0.60156, -8.15625, -0.63281 
0.01812, 1.78906, -7.95312, 2.08594 
0.01844, -0.33594, -3.20312, 4.00000 
0.01875, 1.46094, 2.57812, 4.12500 
0.01906, 0.00000, 6.99219, 3.24219 
0.01937, -0.66406, 8.90625, 0.92188 
0.01969, -0.14062, 6.25781, -0.96094 
0.02000, -0.42969, 1.29688, -1.68750 
0.02031, -0.54688, -4.16406, -1.41406 
0.02063, 0.58594, -7.89062, -0.45312 
0.02094, 1.35938, -8.18750, 1.22656 
0.02125, 0.26562, -4.07031, 3.49219 
0.02156, 0.44531, 0.92969, 3.46875 
0.02188, 0.07812, 6.75781, 4.09375 
0.02219, -0.79688, 8.42969, 1.50000 
0.02250, -0.82812, 7.28906, -0.50000 
0.02281, 0.32812, 2.07031, -2.50781 
0.02312, -0.93750, -3.47656, -1.50781 
0.02344, 0.85156, -8.03906, -0.74219 
0.02375, 0.25000, -8.88281, 2.05469 
0.02406, 1.03125, -4.88281, 2.76562 
0.02438, 0.65625, -0.22656, 3.15625 
0.02469, 0.43750, 6.37500, 3.39844 
0.02500, -0.79688, 8.28125, 2.50000 
0.02531, -0.71875, 7.89844, 0.20312 
0.02563, -0.74219, 2.82031, -1.60938 
0.02594, 0.22656, -2.67188, -2.60938 
0.02625, 0.22656, -2.67188, -2.60938 
0.02656, 0.27344, -7.76562, -1.22656 
0.02687, 0.45312, -8.90625, 1.33594 
0.02719, 0.46094, -6.05469, 3.73438 
0.02750, 0.85938, -1.12500, 3.27344 
0.02781, 0.36719, 5.71875, 3.22656 
0.02813, -0.16406, 8.21875, 1.98438 
0.02844, -0.53906, 8.50000, 0.50000 
0.02875, -0.87500, 4.12500, -0.75000 
0.02906, -0.08594, -1.42188, -2.04688 
0.02938, 0.03906, -6.85156, -1.53906 
0.02969, 1.02344, -8.63281, -0.25781 
0.03000, 0.77344, -7.21094, 2.90625 
0.03031, 0.36719, -2.03125, 4.14844 
0.03062, 0.26562, 4.50000, 4.02344 
0.03094, -0.43750, 8.03906, 2.29688 
0.03125, -0.19531, 8.87500, -0.10938 
0.03156, -1.00000, 5.31250, -0.78125 
0.03188, -0.32031, -0.19531, -1.82031 
0.03219, -0.09375, -5.90625, -1.04688 
0.03250, 1.45312, -8.25000, -0.53906 
0.03281, 1.62500, -8.03125, 2.11719 
0.03313, -0.80469, -2.72656, 4.07812 
0.03344, 1.53125, 3.19531, 3.11719 
0.03375, -1.35156, 7.63281, 3.74219 
0.03406, 0.05469, 9.01562, 0.21875 
0.03438, -1.10938, 6.06250, -0.21875 
0.03469, -0.14844, 0.84375, -2.43750 
0.03500, -0.65625, -4.83594, -0.92188 
0.03531, 0.98438, -7.98438, -1.10156 
0.03563, 1.14844, -8.14062, 2.12500 
0.03594, -0.15625, -3.44531, 3.63281 
0.03625, 1.28125, 1.92969, 3.19531 
0.03656, -0.35938, 7.00000, 3.50781 
0.03687, -0.55469, 8.61719, 1.41406 
0.03719, -0.67188, 6.50000, -0.27344 
0.03750, -0.32031, 1.56250, -2.10156 
0.03781, -0.67969, -4.00000, -1.67188 
0.03812, 0.95312, -7.93750, -1.25781 
0.03844, 1.64062, -8.50000, 1.53906 
0.03875, 1.64062, -8.50000, 1.53906 
0.03906, 1.02344, -4.33594, 3.40625 
0.03938, -1.61719, 0.75781, 4.42188 
