time, x, y, z
0.00000, 1.41406, -4.72656, 2.43750 
0.00031, 0.75000, 0.42188, 2.42188 
0.00063, 0.64062, 7.21094, 2.36719 
0.00094, -3.07812, 9.58594, 3.07812 
0.00125, 0.50000, 7.57031, -1.22656 
0.00156, -1.87500, 2.14844, -0.82812 
0.00187, 0.00000, -4.07031, -1.74219 
0.00219, 0.34375, -8.39062, 0.03906 
0.00250, 0.99219, -9.56250, 1.14062 
0.00281, 0.65625, -5.60938, 3.29688 
0.00313, 1.24219, -0.59375, 2.15625 
0.00344, 0.11719, 6.53125, 2.86719 
0.00375, 0.11719, 6.53125, 2.86719 
0.00406, -1.17188, 9.19531, 2.08594 
0.00438, -0.22656, 8.51562, -0.25781 
0.00469, -1.31250, 3.22656, -0.79688 
0.00500, -0.08594, -2.90625, -1.21875 
0.00531, 0.31250, -8.03125, -0.35156 
0.00562, 0.64844, -9.42188, 0.96875 
0.00594, 1.09375, -6.65625, 2.54688 
0.00625, 1.00000, -1.28125, 2.71094 
0.00656, 0.11719, 5.82812, 2.92188 
0.00688, -0.05469, 9.14844, 2.10156 
0.00719, -0.90625, 9.32031, 0.46875 
0.00750, -1.32812, 4.07031, -0.55469 
0.00781, 0.05469, -1.71875, -1.71094 
0.00813, -0.18750, -7.69531, -0.56250 
0.00844, 0.89062, -9.26562, 0.43750 
0.00875, 1.25000, -7.42188, 2.37500 
0.00906, 0.85156, -2.03906, 3.24219 
0.00937, 0.20312, 5.04688, 3.21875 
0.00969, 0.15625, 8.83594, 2.03906 
0.01000, -1.06250, 9.75000, 0.53906 
0.01031, -0.88281, 5.13281, -0.75000 
0.01063, -0.48438, -0.79688, -1.17969 
0.01094, 0.01562, -6.89062, -0.91406 
0.01125, 0.54688, -9.07812, 0.30469 
0.01156, 1.64844, -8.21875, 1.73438 
0.01188, 0.71875, -2.74219, 3.34375 
0.01219, 0.57812, 3.83594, 3.11719 
0.01250, -0.18750, 8.61719, 2.67188 
0.01281, -1.04688, 9.98438, 0.52344 
0.01312, -0.96094, 5.90625, -0.95312 
0.01344, -0.40625, 0.22656, -1.57812 
0.01375, -0.67188, -6.25000, -0.42188 
0.01406, 1.10156, -8.75000, 0.00000 
0.01438, 1.17188, -8.68750, 1.93750 
