time, x, y, z
0.00000, 0.60156, 5.10938, 0.85938 
0.00031, -0.85938, 7.79688, 1.33594 
0.00063, 0.39062, 7.27344, 1.42188 
0.00094, -0.07031, 3.25781, 1.89844 
0.00125, -0.23438, -1.96875, 0.71094 
0.00156, 0.11719, -6.21094, 0.09375 
0.00187, 0.69531, -7.71094, -0.54688 
0.00219, 0.22656, -5.17969, 0.75000 
0.00250, -0.32031, -1.72656, 0.87500 
0.00281, 0.30469, 4.24219, 1.81250 
0.00313, -0.80469, 6.86719, 1.92188 
0.00344, 0.20312, 7.92969, 1.50000 
0.00375, 0.55469, 4.27344, 1.40625 
0.00406, -0.07031, -0.62500, 1.21875 
0.00438, 0.40625, -5.76562, 0.35156 
0.00469, 0.30469, -7.85156, 0.07812 
0.00500, 0.21094, -6.79688, 0.74219 
0.00531, -0.13281, -3.09375, 0.77344 
0.00562, 0.51562, 2.61719, 1.17969 
0.00594, -0.55469, 6.12500, 1.75000 
0.00625, -0.03906, 8.28906, 1.84375 
0.00656, -0.31250, 6.07031, 2.12500 
0.00688, -0.07031, 1.23438, 0.91406 
0.00719, 0.07812, -3.80469, -0.04688 
0.00750, 0.36719, -7.17969, -0.28125 
0.00781, 0.16406, -7.54688, 0.81250 
0.00813, 0.16406, -3.95312, 1.05469 
0.00844, 0.25000, 0.74219, 1.00000 
0.00875, 0.03906, 5.36719, 1.23438 
0.00906, 0.12500, 7.85938, 1.32812 
0.00937, 0.12500, 7.85938, 1.32812 
0.00969, -0.31250, 6.71875, 2.37500 
0.01000, -0.19531, 2.68750, 1.50781 
0.01031, -0.45312, -2.47656, 0.28125 
0.01063, 0.89844, -6.40625, -1.13281 
0.01094, 0.06250, -7.69531, -0.02344 
0.01125, 0.16406, -4.66406, 0.97656 
0.01156, 0.10156, -1.08594, 1.45312 
0.01188, 0.03125, 4.50781, 1.32031 
0.01219, -0.08594, 7.15625, 0.91406 
0.01250, 0.18750, 7.67188, 1.58594 
0.01281, 0.14844, 3.82812, 1.87500 
0.01312, -0.07812, -1.30469, 0.73438 
0.01344, 0.77344, -6.11719, -0.39062 
0.01375, -0.24219, -7.99219, -0.08594 
0.01406, 0.63281, -6.27344, 0.00781 
0.01438, 0.05469, -2.54688, 1.19531 
0.01469, 0.21094, 3.29688, 1.63281 
0.01500, -0.38281, 6.65625, 1.36719 
0.01531, 0.11719, 8.59375, 1.25000 
0.01562, -0.10938, 5.67188, 1.85938 
0.01594, -0.17969, 0.60938, 0.75781 
0.01625, 0.23438, -4.71875, 0.30469 
0.01656, 0.32031, -7.57031, -0.18750 
0.01688, 0.54688, -7.37500, 0.18750 
0.01719, 0.11719, -3.63281, 0.92188 
0.01750, -1.00000, 1.64062, 2.04688 
0.01781, 0.54688, 5.75000, 0.62500 
0.01812, -0.32031, 8.19531, 1.41406 
0.01844, -0.09375, 6.49219, 2.10156 
0.01875, -0.34375, 2.10938, 1.78125 
0.01906, -0.16406, -2.91406, 0.50781 
0.01937, 0.25000, -6.57812, -0.17969 
0.01969, 0.38281, -7.60156, -0.16406 
0.02000, 0.00000, -4.48438, 0.96094 
0.02031, 0.75000, -0.55469, 1.35938 
0.02063, -0.65625, 4.75781, 2.00000 
0.02094, -0.65625, 4.75781, 2.00000 
0.02125, 0.64062, 7.41406, 1.50000 
0.02156, -0.44531, 7.26562, 2.19531 
0.02188, 0.11719, 3.06250, 1.33594 
0.02219, 0.82812, -1.84375, 0.33594 
0.02250, 0.11719, -6.46094, 0.57812 
0.02281, 0.44531, -7.92969, 0.28125 
0.02312, 0.10938, -5.81250, 0.91406 
0.02344, 0.39844, -2.33594, 0.69531 
0.02375, -0.32812, 3.77344, 1.32812 
0.02406, 0.32031, 6.62500, 1.17969 
0.02438, -0.48438, 8.19531, 2.09375 
0.02469, 0.03906, 5.04688, 2.00781 
0.02500, -0.57812, -0.28125, 1.30469 
0.02531, 1.21094, -5.16406, -0.81250 
0.02563, -0.30469, -7.89844, -0.10938 
0.02594, 0.88281, -7.03125, 0.35156 
0.02625, -0.50000, -3.30469, 1.54688 
0.02656, 0.59375, 2.25781, 1.00781 
0.02687, -1.55469, 6.27344, 1.84375 
0.02719, 0.82031, 8.15625, 0.03906 
0.02750, -0.37500, 6.38281, 2.09375 
0.02781, -0.08594, 1.46875, 1.23438 
0.02813, -0.25000, -3.45312, 0.75781 
0.02844, 1.00000, -7.00000, -0.82812 
0.02875, 0.25000, -7.60938, 0.31250 
0.02906, -0.88281, -3.98438, 0.53125 
0.02938, 1.25781, 0.28906, 1.49219 
0.02969, -0.39844, 5.10156, 1.68750 
0.03000, 0.03906, 7.92188, 1.03125 
0.03031, 0.88281, 6.79688, 1.32812 
0.03062, -0.38281, 3.02344, 1.96875 
0.03094, -0.37500, -2.31250, 0.77344 
0.03125, 0.53125, -6.25000, -0.13281 
0.03156, 0.28125, -7.86719, -0.17188 
0.03188, -1.14062, -5.07031, 0.48438 
0.03219, 1.67969, -1.44531, 0.92969 
0.03250, -0.21875, 3.99219, 1.96875 
0.03281, -0.20312, 7.12500, 1.42188 
0.03313, -0.20312, 7.12500, 1.42188 
0.03344, 0.90625, 7.56250, 1.59375 
0.03375, -0.07031, 4.09375, 2.17969 
0.03406, -0.14844, -0.90625, 0.85156 
0.03438, 0.52344, -5.98438, 0.09375 
0.03469, 0.13281, -7.75781, -0.21875 
0.03500, 0.25000, -6.67188, 0.42188 
0.03531, 0.55469, -2.81250, 0.97656 
0.03563, 0.18750, 2.67969, 1.83594 
0.03594, -0.21875, 6.24219, 1.71875 
0.03625, -0.62500, 8.12500, 1.99219 
0.03656, 0.28125, 5.94531, 1.42188 
0.03687, -0.58594, 1.15625, 0.90625 
0.03719, 0.46094, -4.01562, 0.00000 
0.03750, 0.33594, -7.18750, 0.28906 
0.03781, 0.28125, -7.72656, 0.66406 
0.03812, -0.10156, -3.98438, 1.30469 
0.03844, 0.33594, 0.78125, 0.77344 
0.03875, -0.21094, 5.68750, 1.30469 
0.03906, 0.41406, 8.04688, 1.09375 
0.03938, -0.43750, 6.86719, 2.62500 
0.03969, -0.05469, 2.60938, 1.52344 
0.04000, -0.21094, -2.76562, 0.36719 
0.04031, 0.73438, -6.53125, -0.82031 
0.04063, 0.03906, -7.90625, 0.22656 
0.04094, 0.22656, -4.52344, 0.99219 
0.04125, 0.10938, -0.75000, 1.28906 
0.04156, 0.06250, 4.78125, 1.20312 
0.04188, 0.07812, 7.42969, 0.95312 
0.04219, 0.06250, 7.35938, 1.96094 
0.04250, 0.23438, 3.55469, 1.82812 
0.04281, -0.13281, -1.67969, 0.92969 
0.04313, 0.47656, -6.15625, -0.35156 
0.04344, 0.44531, -7.64844, -0.53125 
0.04375, 0.25000, -5.92969, 0.47656 
0.04406, 0.25000, -2.34375, 1.04688 
0.04437, -0.34375, 3.32812, 1.77344 
0.04469, -0.34375, 3.32812, 1.77344 
0.04500, -0.02344, 6.47656, 1.05469 
0.04531, -0.14844, 8.28906, 1.53906 
0.04562, 0.07812, 5.34375, 1.56250 
0.04594, -0.29688, 0.53125, 0.96875 
0.04625, 0.50000, -4.75000, 0.05469 
0.04656, -0.10156, -7.56250, -0.25000 
0.04688, 0.81250, -7.23438, 0.23438 
0.04719, -0.71094, -3.64844, 1.53906 
0.04750, 0.67188, 1.63281, 0.74219 
0.04781, -0.23438, 5.96875, 1.48438 
0.04813, 0.20312, 8.32031, 1.42188 
0.04844, -0.25000, 6.67188, 2.46094 
0.04875, -0.21094, 2.03906, 1.20312 
0.04906, -0.42969, -3.12500, 0.42969 
0.04938, 0.66406, -6.81250, -0.84375 
0.04969, 1.25781, -7.82812, 0.27344 
0.05000, 0.75781, -4.31250, 1.24219 
0.05031, -1.27344, 0.03906, 2.07031 
0.05063, 0.84375, 4.92969, 0.66406 
0.05094, -0.96094, 7.78906, 1.39844 
0.05125, 0.25781, 7.01562, 1.51562 
0.05156, -0.28906, 3.25000, 2.46875 
0.05188, -0.08594, -2.04688, 0.92188 
0.05219, 0.25000, -6.22656, 0.00781 
0.05250, 0.83594, -7.67969, -0.62500 
0.05281, 0.58594, -5.34375, 0.79688 
0.05312, -0.11719, -1.59375, 1.85156 
0.05344, 0.99219, 3.90625, 2.28125 
0.05375, 0.37500, 6.33594, 0.96875 
0.05406, -0.64844, 8.26562, 1.85938 
0.05437, 1.35938, 4.50000, 0.92188 
0.05469, -0.82812, 0.12500, 1.71875 
0.05500, 0.22656, -5.32031, 0.13281 
0.05531, -0.16406, -7.50781, 0.00000 
0.05563, 0.98438, -6.65625, -0.25000 
0.05594, -0.17188, -3.28125, 0.87500 
0.05625, -0.83594, 2.46875, 1.50000 
0.05656, 1.04688, 6.17969, 2.03125 
0.05688, 1.04688, 6.17969, 2.03125 
0.05719, -0.09375, 8.53125, 1.52344 
0.05750, -0.44531, 6.64844, 1.96094 
0.05781, 1.14062, 1.78906, 0.05469 
0.05813, -0.64062, -3.24219, 0.80469 
0.05844, 0.30469, -6.91406, -0.20312 
0.05875, 0.08594, -7.46875, 0.53125 
0.05906, 0.39844, -4.08594, 0.27344 
0.05938, -1.57812, 0.23438, 0.80469 
0.05969, 1.31250, 5.30469, 1.10156 
0.06000, -1.12500, 7.89844, 2.21094 
0.06031, 0.32812, 7.17969, 1.94531 
0.06062, 0.75000, 3.14062, 0.99219 
0.06094, -0.22656, -2.00000, 0.46094 
0.06125, 0.46875, -6.15625, -0.31250 
0.06156, 0.30469, -7.82031, 0.29688 
0.06187, 0.51562, -5.09375, 0.75781 
0.06219, -0.66406, -1.60938, 1.31250 
0.06250, 1.38281, 4.10938, 1.26562 
0.06281, 0.14062, 6.71094, 1.01562 
0.06313, -0.53125, 8.07031, 2.35938 
0.06344, 1.01562, 4.06250, 1.54688 
0.06375, -0.37500, -0.53906, 1.41406 
0.06406, 0.34375, -5.84375, -0.27344 
0.06438, 0.14062, -7.67188, -0.05469 
0.06469, 0.56250, -6.55469, 0.20312 
0.06500, -0.32031, -3.00000, 1.46875 
0.06531, 0.53906, 2.78125, 1.32031 
0.06563, -0.64062, 6.22656, 1.68750 
0.06594, 0.37500, 8.35938, 1.26562 
0.06625, -0.28906, 5.94531, 2.44531 
0.06656, 0.02344, 1.17188, 1.02344 
0.06688, -0.17969, -3.83594, 0.61719 
0.06719, 0.50000, -7.07031, -0.47656 
0.06750, 0.08594, -7.36719, 0.38281 
0.06781, 0.48438, -3.95312, 0.72656 
0.06813, 0.48438, -3.95312, 0.72656 
0.06844, 0.38281, 0.71875, 1.50781 
0.06875, 0.00000, 5.27344, 1.72656 
0.06906, -0.09375, 7.81250, 1.67969 
0.06938, -0.10156, 6.72656, 2.17188 
0.06969, -0.35938, 2.58594, 1.36719 
0.07000, 0.15625, -2.29688, 0.03125 
0.07031, 0.39062, -6.34375, -0.35938 
0.07063, 0.49219, -7.74219, 0.14844 
0.07094, -0.21094, -4.79688, 1.39062 
0.07125, 0.45312, -1.30469, 0.99219 
0.07156, -0.25000, 4.53906, 1.38281 
0.07188, 0.08594, 7.06250, 0.90625 
0.07219, -0.19531, 7.72656, 2.07812 
0.07250, 0.17969, 3.81250, 1.85156 
0.07281, 0.28125, -1.25000, 0.80469 
0.07312, 0.50000, -6.17969, -0.47656 
0.07344, -0.15625, -8.13281, 0.19531 
0.07375, 0.50000, -6.19531, 0.35938 
0.07406, -0.18750, -2.48438, 1.39844 
0.07437, 0.56250, 3.45312, 1.11719 
0.07469, -0.44531, 6.52344, 1.50000 
0.07500, 0.17969, 8.25000, 1.21094 
0.07531, -0.19531, 5.50000, 2.01562 
0.07562, 0.00000, 0.53906, 0.82031 
0.07594, 0.16406, -4.64062, 0.03906 
0.07625, 0.54688, -7.46875, -0.53906 
0.07656, 0.13281, -7.17188, 0.78906 
0.07687, 0.37500, -3.51562, 0.72656 
0.07719, -0.10156, 1.46094, 1.39062 
0.07750, -0.02344, 5.68750, 1.18750 
0.07781, -0.07812, 8.00781, 1.30469 
0.07812, -0.38281, 6.61719, 2.10938 
0.07844, -0.35938, 2.26562, 1.32812 
0.07875, -0.21875, -2.67188, 0.24219 
0.07906, 0.51562, -6.46875, -0.50781 
0.07938, 0.91406, -7.63281, 0.25000 
0.07969, 0.57031, -4.25781, 1.51562 
0.08000, 0.57031, -4.25781, 1.51562 
0.08031, 0.34375, -0.54688, 1.77344 
0.08063, 0.61719, 4.56250, 0.99219 
0.08094, -0.87500, 7.68750, 1.39062 
0.08125, 0.87500, 7.36719, 1.34375 
0.08156, -0.42188, 3.54688, 2.46875 
0.08188, -0.08594, -1.67969, 0.75781 
0.08219, 0.24219, -6.20312, 0.00781 
0.08250, 0.82031, -7.82031, -0.57812 
0.08281, -1.36719, -5.98438, 0.53125 
