time, x, y, z
0.04156, 0.55469, -7.58594, -0.28125 
0.04188, 0.55469, -9.17188, 1.17188 
0.04219, 1.24219, -6.50781, 2.65625 
0.04250, 0.38281, -1.17969, 3.57031 
0.04281, 0.25781, 5.55469, 3.60938 
0.04313, -0.75000, 8.82031, 3.17969 
0.04344, -0.59375, 8.75781, 1.01562 
0.04375, -1.08594, 4.38281, 0.00000 
0.04406, 0.50000, -1.56250, -1.30469 
0.04437, 0.00000, -6.96094, 0.00781 
0.04469, 1.01562, -8.97656, 0.89062 
0.04500, 0.97656, -7.44531, 2.70312 
0.04531, 0.58594, -1.94531, 3.39844 
0.04562, 0.02344, 4.35156, 3.53125 
0.04594, -0.33594, 8.37500, 2.57031 
0.04625, -0.78125, 9.19531, 0.99219 
0.04656, -0.79688, 5.34375, -0.04688 
0.04688, -0.12500, -0.33594, -1.32031 
0.04719, 0.15625, -6.38281, -0.87500 
0.04750, 0.77344, -8.78125, 0.19531 
0.04781, 1.18750, -8.07031, 1.72656 
0.04813, 0.53125, -2.56250, 2.64844 
0.04844, 0.26562, 3.35156, 2.89844 
0.04875, -0.07031, 7.82812, 2.30469 
0.04906, -0.07031, 7.82812, 2.30469 
0.04938, -1.03125, 9.27344, 0.65625 
0.04969, -0.43750, 5.92969, -0.55469 
0.05000, -0.33594, 0.78125, -1.46875 
0.05031, -0.38281, -5.46875, -1.25000 
0.05063, 1.26562, -8.62500, -0.75781 
0.05094, 0.89062, -8.46875, 1.00000 
0.05125, 0.60156, -3.41406, 2.06250 
0.05156, 0.66406, 2.13281, 2.38281 
0.05188, -0.14844, 7.20312, 2.38281 
0.05219, -0.92188, 9.14062, 1.03125 
0.05250, -0.42969, 6.68750, -0.52344 
0.05281, -0.63281, 1.64062, -1.50000 
0.05312, -0.16406, -4.47656, -1.64844 
0.05344, 0.85156, -8.60938, -0.91406 
0.05375, 0.85938, -9.07812, 0.67969 
0.05406, 0.78125, -4.41406, 2.20312 
0.05437, 0.50781, 0.87500, 2.66406 
0.05469, -0.11719, 7.10938, 2.82031 
0.05500, -0.69531, 9.00000, 1.82812 
0.05531, -0.55469, 7.53906, 0.15625 
0.05563, -0.71875, 2.41406, -0.85156 
0.05594, 0.35156, -3.76562, -1.61719 
0.05625, 0.33594, -8.45312, -0.50000 
0.05656, 0.82812, -9.34375, 1.23438 
0.05688, 1.03906, -5.25781, 2.60938 
0.05719, 0.21094, -0.01562, 3.31250 
0.05750, 0.45312, 6.63281, 3.13281 
0.05781, -0.74219, 8.82812, 2.78906 
0.05813, -0.60156, 8.09375, 0.92969 
0.05844, -1.00781, 3.25000, -0.12500 
0.05875, 0.25000, -2.82031, -1.28906 
0.05906, 0.68750, -7.91406, -0.41406 
0.05938, 0.53906, -9.12500, 1.07812 
0.05969, 1.00781, -6.21094, 3.31250 
0.06000, 0.50000, -0.88281, 3.46875 
0.06031, -0.46094, 5.75781, 3.50000 
0.06062, 0.33594, 8.61719, 2.17188 
0.06094, -1.18750, 8.73438, 1.59375 
0.06125, -1.18750, 8.73438, 1.59375 
0.06156, 0.10156, -1.71094, -1.00000 
0.06187, 0.10156, -1.71094, -1.00000 
0.06219, 0.27344, -7.07812, -0.72656 
0.06250, 1.39062, -9.03906, 0.17969 
0.06281, 1.50781, -7.29688, 2.42969 
0.06313, -0.22656, -1.70312, 4.03125 
0.06344, 1.14062, 4.45312, 2.43750 
0.06375, -1.17969, 8.62500, 2.80469 
0.06406, -0.04688, 9.15625, 0.19531 
0.06438, -1.21875, 5.17969, 0.03125 
0.06469, 0.17188, -0.49219, -1.61719 
0.06500, -0.45312, -6.44531, -0.60156 
0.06531, 1.58594, -8.56250, -1.10156 
