time, x, y, z
0.00000, 0.18750, 7.10156, 2.74219 
0.00031, -0.35156, 8.99219, 1.55469 
0.00063, -0.65625, 6.88281, 0.21094 
0.00094, -0.78906, 1.77344, -0.75781 
0.00125, 0.14844, -4.23438, -1.19531 
0.00156, 0.52344, -8.23438, -0.60156 
0.00187, 0.86719, -9.01562, 0.35156 
0.00219, 0.75000, -5.00000, 2.12500 
0.00250, 0.61719, 0.00000, 3.07812 
0.00281, 0.14844, 6.46094, 2.62500 
0.00313, -0.65625, 8.99219, 1.50000 
0.00344, 0.00000, 7.92969, -0.62500 
0.00375, -1.16406, 2.89844, -1.11719 
0.00406, 0.43750, -3.10156, -2.07031 
0.00438, 0.09375, -7.83594, -0.97656 
0.00469, 0.79688, -9.00000, -0.20312 
0.00500, 0.87500, -6.04688, 1.52344 
0.00531, 0.71094, -0.91406, 2.17188 
0.00562, -0.25781, 5.75000, 2.82031 
0.00594, -0.25781, 5.75000, 2.82031 
0.00625, -0.43750, 8.77344, 1.79688 
0.00656, -0.63281, 8.64062, 0.00000 
0.00688, -0.98438, 4.11719, -1.30469 
0.00719, 0.25000, -1.75000, -1.96094 
0.00750, 0.03125, -6.96875, -1.07031 
0.00781, 0.57031, -8.70312, -0.02344 
0.00813, 1.35938, -6.95312, 1.67188 
0.00844, 0.39062, -1.66406, 2.75000 
0.00875, 0.21094, 4.70312, 2.94531 
0.00906, -0.35156, 8.45312, 2.92188 
0.00937, -0.89062, 9.03906, 0.85938 
0.00969, -0.89062, 5.00000, -0.42969 
0.01000, 0.32812, -0.41406, -1.45312 
0.01031, -0.28125, -6.03125, -0.50000 
0.01063, 0.93750, -8.50000, 0.10156 
0.01094, 1.15625, -7.78125, 2.35156 
0.01125, 0.64844, -2.53906, 3.25781 
0.01156, 0.25781, 3.41406, 3.65625 
0.01188, -0.03125, 8.00000, 3.49219 
0.01219, -1.14062, 9.09375, 1.85156 
0.01250, -0.67188, 5.71094, 0.10156 
0.01281, 0.02344, 0.60938, -0.90625 
0.01312, -0.44531, -5.25000, -0.32812 
0.01344, 1.30469, -8.41406, 0.07031 
0.01375, 1.01562, -8.49219, 2.39844 
0.01406, 0.62500, -3.65625, 3.48438 
0.01438, 0.59375, 1.92188, 3.50000 
0.01469, -0.00781, 7.51562, 3.49219 
0.01500, -1.25781, 9.11719, 2.03906 
0.01531, -0.28125, 6.53906, -0.17969 
0.01562, -0.35156, 1.39844, -0.87500 
0.01594, -0.36719, -4.50000, -0.84375 
0.01625, 1.00000, -8.34375, -0.15625 
0.01656, 1.00000, -9.05469, 1.25000 
0.01688, 0.48438, -4.54688, 2.75000 
0.01719, 0.85938, 0.50000, 2.80469 
0.01750, -0.21094, 6.83594, 3.07812 
0.01781, -0.83594, 9.03906, 1.55469 
0.01812, -0.32812, 7.41406, -0.17188 
0.01844, -0.32812, 7.41406, -0.17188 
0.01875, -0.76562, 2.42188, -1.22656 
0.01906, 0.06250, -3.74219, -1.85938 
0.01937, 0.58594, -8.16406, -0.99219 
0.01969, 0.72656, -9.09375, 0.60938 
0.02000, 0.02344, -5.56250, 2.23438 
0.02031, 1.17188, -0.36719, 1.89062 
0.02063, -0.24219, 6.18750, 2.49219 
0.02094, -0.35938, 8.75000, 1.18750 
0.02125, -0.47656, 8.30469, 0.11719 
0.02156, -0.90625, 3.60938, -0.92188 
0.02188, -0.07031, -2.25781, -1.93750 
0.02219, 0.75000, -7.50781, -1.68750 
0.02250, 0.57031, -8.85156, -0.10156 
0.02281, 1.40625, -6.60156, 1.50781 
0.02312, -1.07812, -1.08594, 3.35156 
0.02344, 1.10156, 5.14844, 1.74219 
0.02375, -0.91406, 8.37500, 1.97656 
0.02406, -0.60938, 8.92969, 0.09375 
0.02438, -0.89062, 4.72656, 0.04688 
0.02469, 0.00000, -0.71875, -1.51562 
0.02500, -0.19531, -6.61719, -0.73438 
0.02531, 1.34375, -8.62500, -0.66406 
