time, x, y, z
0.00000, 0.94531, 0.67188, 3.03125 
0.00031, -0.61719, 8.44531, 1.86719 
0.00063, -0.47656, 6.96875, -0.14062 
0.00094, -0.85156, 2.37500, -1.42188 
0.00125, -0.04688, -3.27344, -1.97656 
0.00156, 0.42969, -7.44531, -0.92188 
0.00187, 0.57031, -8.54688, 0.77344 
0.00219, 1.10938, -5.35938, 2.50000 
0.00250, 0.57031, -0.63281, 3.36719 
0.00281, 0.07812, 5.74219, 3.49219 
0.00313, -0.32031, 8.13281, 2.32031 
0.00344, -0.53906, 7.99219, 0.35156 
0.00375, -0.90625, 3.71094, -0.89844 
0.00406, 0.17969, -1.74219, -2.05469 
0.00438, -0.03125, -6.78906, -0.94531 
0.00469, 0.65625, -8.51562, 0.49219 
0.00500, 0.42188, -6.56250, 2.96875 
0.00531, 1.00781, -1.69531, 3.03906 
0.00562, -0.00781, 4.79688, 3.50781 
0.00594, 0.22656, 8.02344, 2.47656 
0.00625, -0.97656, 8.66406, 1.21094 
0.00656, -0.76562, 4.78906, -0.42969 
0.00688, -0.22656, -0.55469, -1.64062 
0.00719, -0.01562, -5.89062, -1.35156 
0.00750, 1.42188, -8.26562, -0.27344 
0.00781, 1.34375, -7.44531, 2.35938 
0.00813, 1.34375, -7.44531, 2.35938 
0.00844, -0.24219, -2.30469, 4.28125 
0.00875, 1.50000, 3.13281, 2.76562 
0.00906, -1.02344, 7.61719, 3.20312 
0.00937, -0.14062, 8.64844, 0.59375 
0.00969, -0.81250, 5.53906, 0.07812 
0.01000, -0.50000, 0.77344, -1.53125 
0.01031, -0.38281, -5.09375, -1.07031 
0.01063, 1.41406, -7.78125, -1.09375 
0.01094, 0.89844, -8.16406, 1.70312 
0.01125, 0.05469, -3.43750, 3.21875 
0.01156, 1.50000, 1.84375, 3.85938 
0.01188, -0.43750, 6.68750, 3.35938 
0.01219, -0.82812, 8.93750, 0.99219 
0.01250, 0.67969, 6.25781, -1.35156 
0.01281, -1.39844, 1.64844, -0.68750 
0.01312, -0.07812, -4.25781, -1.38281 
0.01344, 0.72656, -7.83594, -0.50781 
0.01375, 0.65625, -8.66406, 0.90625 
0.01406, 0.77344, -4.59375, 2.18750 
0.01438, 1.07031, 0.32812, 2.81250 
0.01469, -0.14844, 6.32031, 3.95312 
0.01500, -0.14844, 6.32031, 3.95312 
0.01531, -0.14844, 6.32031, 3.95312 
0.01562, -0.14844, 6.32031, 3.95312 
0.01594, -0.14844, 6.32031, 3.95312 
0.01625, -1.96094, 8.48438, 2.75000 
0.01656, -1.96094, 8.48438, 2.75000 
0.01688, -1.96094, 8.48438, 2.75000 
0.01719, -1.96094, 8.48438, 2.75000 
0.01750, -0.38281, 5.46875, 3.29688 
0.01781, 0.12500, 8.25000, 2.44531 
0.01812, -1.85156, 7.97656, 1.51562 
0.01844, -0.12500, 3.76562, -1.71875 
0.01875, 0.07031, -1.60938, -2.18750 
0.01906, 0.36719, -6.92188, -1.19531 
0.01937, 0.39844, -8.30469, 1.13281 
0.01969, 1.15625, -6.79688, 2.66406 
0.02000, 0.22656, -1.71875, 3.61719 
0.02031, 0.22656, -1.71875, 3.61719 
0.02063, 0.46094, 4.62500, 2.52344 
0.02094, 0.14062, 7.87500, 2.52344 
0.02125, -1.42188, 8.69531, 1.26562 
0.02156, -0.39062, 4.85156, -0.43750 
0.02188, -0.14844, -0.30469, -1.64062 
0.02219, -0.14844, -5.92188, -1.09375 
0.02250, 0.85938, -8.14062, -0.00781 
0.02281, 1.10938, -7.57031, 2.10938 
0.02312, 0.26562, -2.59375, 3.67969 
0.02344, 0.61719, 3.12500, 3.25000 
0.02375, -0.11719, 7.39062, 2.92188 
0.02406, -0.85156, 8.75000, 1.00781 
0.02438, -0.53906, 5.63281, -0.37500 
0.02469, -0.51562, 0.76562, -1.27344 
0.02500, -0.46875, -5.00000, -1.00781 
0.02531, 1.07812, -7.83594, -0.72656 
0.02563, 0.92188, -8.06250, 1.32031 
0.02594, 0.73438, -3.57812, 2.92188 
0.02625, 0.89062, 1.54688, 3.50000 
0.02656, -0.18750, 6.79688, 3.58594 
0.02687, -0.81250, 8.55469, 1.51562 
0.02719, -0.23438, 6.45312, -0.66406 
