time, x, y, z
0.00000, -1.00781, 8.72656, 1.72656 
0.00031, 0.42969, 0.68750, -1.00000 
0.00063, -0.60938, -5.26562, 0.50781 
0.00094, 1.48438, -8.01562, 0.17969 
0.00125, 0.71094, -8.14062, 2.77344 
0.00156, 0.64062, -3.65625, 3.24219 
0.00187, 0.15625, 1.42969, 3.85156 
0.00219, 0.23438, 6.59375, 2.83594 
0.00250, -0.89062, 8.56250, 1.92188 
0.00281, -0.40625, 6.78125, -0.17969 
0.00313, -1.25000, 1.54688, -0.28906 
0.00344, 0.92969, -3.77344, -1.85156 
0.00375, 0.09375, -8.04688, -0.16406 
0.00406, 0.09375, -8.04688, -0.16406 
0.00438, 1.34375, -8.71875, 0.54688 
0.00469, 0.39062, -4.83594, 2.82812 
0.00500, 0.53125, -0.14844, 2.08594 
0.00531, -0.25000, 6.40625, 2.57031 
0.00562, -0.20312, 8.59375, 0.77344 
0.00594, -1.07812, 7.80469, -0.47656 
0.00625, 0.08594, 3.02344, -1.58594 
0.00656, -0.94531, -2.78906, -1.20312 
0.00688, 1.02344, -7.50000, -2.17969 
0.00719, 0.58594, -8.58594, -0.50000 
0.00750, 1.08594, -6.06250, 1.25000 
0.00781, 0.20312, -0.84375, 2.25000 
0.00813, 0.15625, 5.57031, 2.24219 
0.00844, -0.69531, 8.63281, 1.83594 
0.00875, -0.81250, 8.41406, -0.85938 
0.00906, -0.08594, 4.21094, -1.42969 
0.00937, -1.00000, -1.34375, -1.30469 
0.00969, 0.79688, -6.43750, -1.84375 
0.01000, 0.52344, -8.11719, -0.29688 
0.01031, 1.28125, -7.19531, 1.42188 
0.01063, 0.25000, -1.85156, 2.65625 
0.01094, 0.49219, 3.95312, 2.71875 
0.01125, -0.86719, 7.96875, 3.06250 
0.01156, -0.14062, 8.75781, 0.42188 
0.01188, -1.25000, 5.18750, -0.18750 
0.01219, 0.10156, 0.00000, -1.00000 
0.01250, -0.07812, -5.24219, -0.47656 
0.01281, 0.78125, -8.30469, 0.07031 
0.01312, 1.50000, -8.00781, 1.89844 
0.01344, 0.28125, -3.25000, 3.83594 
0.01375, 0.50781, 2.32031, 3.58594 
0.01406, -0.39062, 7.56250, 3.82031 
0.01438, -0.56250, 8.86719, 1.82812 
0.01469, -1.18750, 6.22656, 0.54688 
0.01500, 0.08594, 0.96875, -0.53125 
0.01531, -0.54688, -4.60938, 0.11719 
0.01562, 1.11719, -8.13281, 0.32812 
0.01594, 1.00000, -8.54688, 1.97656 
0.01625, 0.80469, -3.82031, 3.50000 
0.01656, 0.80469, -3.82031, 3.50000 
0.01688, 0.30469, 1.00781, 3.90625 
0.01719, 0.03906, 7.00000, 3.75000 
0.01750, -0.96094, 8.78906, 2.17188 
0.01781, -0.43750, 6.92188, 0.30469 
0.01812, -0.22656, 2.02344, -0.61719 
0.01844, -0.21875, -3.87500, -0.64062 
0.01875, 0.69531, -7.97656, 0.26562 
0.01906, 0.52344, -8.64062, 1.35156 
0.01937, 0.75000, -5.12500, 2.11719 
0.01969, 0.67969, -0.15625, 2.56250 
0.02000, 0.00781, 5.81250, 3.07031 
0.02031, -0.63281, 8.39062, 1.86719 
0.02063, -0.39844, 7.78906, 0.25000 
0.02094, -0.61719, 3.50000, -0.94531 
0.02125, -0.06250, -2.37500, -1.94531 
0.02156, 0.76562, -7.42969, -1.38281 
0.02188, 0.17188, -8.47656, 0.38281 
0.02219, 1.12500, -6.43750, 1.31250 
0.02250, 0.32812, -1.19531, 2.03125 
0.02281, 0.28125, 4.78125, 2.00000 
0.02312, -0.44531, 7.95312, 1.50000 
0.02344, -0.50000, 8.67969, -0.05469 
0.02375, -0.87500, 4.63281, -0.77344 
0.02406, 0.13281, -0.78906, -2.31250 
0.02438, -0.10156, -6.44531, -1.71094 
0.02469, 0.85938, -8.41406, -0.68750 
0.02500, 0.45312, -7.30469, 1.40625 
0.02531, 0.75000, -2.13281, 1.89844 
0.02563, 0.28906, 3.63281, 2.17969 
0.02594, -0.10938, 7.57812, 2.00000 
0.02625, -0.82031, 9.10156, 0.89062 
0.02656, -0.77344, 5.69531, -0.07031 
0.02687, -0.50000, 0.55469, -1.46875 
0.02719, -0.03125, -5.42969, -1.49219 
0.02750, 1.00000, -8.12500, -0.57031 
0.02781, 0.42188, -7.97656, 2.00000 
0.02813, 1.10938, -3.25000, 2.85938 
0.02844, 0.24219, 2.14062, 3.28906 
0.02875, 0.24219, 2.14062, 3.28906 
0.02906, -1.09375, 9.00781, 2.32031 
0.02938, -1.09375, 9.00781, 2.32031 
0.02969, -0.42188, 6.51562, 0.51562 
0.03000, -0.99219, 1.63281, -0.26562 
0.03031, 0.36719, -4.42969, -1.03125 
0.03062, 0.50000, -8.08594, -0.10938 
0.03094, 1.09375, -8.51562, 1.85156 
0.03125, 0.25781, -4.29688, 4.06250 
0.03156, 0.85156, 0.57812, 3.46094 
0.03188, 0.14844, 6.71094, 3.71875 
0.03219, -0.57812, 8.75000, 2.55469 
0.03250, -0.55469, 7.27344, 1.13281 
0.03281, -0.85938, 2.37500, -0.04688 
0.03313, 0.00000, -3.50000, -0.65625 
0.03344, 0.64062, -7.85938, -0.39844 
0.03375, 0.96875, -8.82031, 1.05469 
0.03406, 0.81250, -5.66406, 3.17969 
0.03438, -0.38281, -0.53906, 4.39062 
0.03469, 0.96094, 5.69531, 2.50781 
0.03500, -1.09375, 8.67188, 2.40625 
0.03531, 0.07031, 8.08594, 0.00000 
0.03563, -1.12500, 3.59375, 0.00000 
0.03594, 0.25781, -2.02344, -1.29688 
0.03625, -0.10938, -7.21875, -0.32031 
0.03656, 1.00781, -8.57812, -0.62500 
0.03687, 0.89844, -6.81250, 1.69531 
0.03719, 0.48438, -1.61719, 2.50000 
0.03750, 0.46875, 4.78906, 2.72656 
0.03781, -1.21094, 8.33594, 2.25781 
0.03812, -0.28125, 8.79688, 0.25000 
0.03844, -0.91406, 4.93750, -1.47656 
0.03875, -0.17969, -0.89062, -2.25781 
0.03906, 0.56250, -6.03125, -1.85156 
0.03938, 0.53906, -8.46094, -0.04688 
0.03969, 1.10156, -7.43750, 1.14844 
0.04000, 0.40625, -2.27344, 2.00000 
0.04031, 0.59375, 3.50000, 1.75000 
0.04063, -0.67969, 7.92969, 2.25000 
0.04094, -0.21094, 8.84375, 0.35938 
0.04125, -1.47656, 5.64844, -0.52344 
0.04156, -1.47656, 5.64844, -0.52344 
0.04188, 0.27344, 0.39844, -1.86719 
0.04219, -0.50000, -4.96875, -1.57812 
0.04250, 1.20312, -8.14844, -1.14062 
0.04281, 1.03125, -8.12500, 1.27344 
0.04313, 0.72656, -3.41406, 3.00000 
0.04344, -0.17188, 1.92188, 2.92188 
0.04375, 0.50000, 7.31250, 2.85156 
0.04406, -1.52344, 8.93750, 1.55469 
0.04437, -0.32031, 6.55469, -0.71875 
0.04469, 0.05469, 1.52344, -1.08594 
0.04500, -0.64844, -4.18750, -0.25000 
0.04531, 1.11719, -7.79688, -0.10156 
0.04562, 0.69531, -8.71875, 1.67188 
0.04594, 0.77344, -4.54688, 3.10938 
0.04625, 0.82031, 0.36719, 3.22656 
0.04656, -0.42188, 6.60156, 3.74219 
0.04688, -0.50781, 8.91406, 2.85156 
0.04719, -0.64844, 7.50000, 0.75000 
0.04750, -0.81250, 2.61719, -0.53125 
0.04781, 0.91406, -3.29688, -1.21875 
0.04813, 0.05469, -7.93750, 1.00000 
0.04844, 0.72656, -8.90625, 1.97656 
0.04875, 0.75000, -5.68750, 3.10156 
0.04906, 0.46875, -0.58594, 3.11719 
0.04938, 0.04688, 5.68750, 3.13281 
0.04969, -0.10156, 8.50000, 2.32031 
0.05000, -1.17969, 8.17969, 1.40625 
0.05031, -1.17969, 8.17969, 1.40625 
