time, x, y, z
0.00000, -0.31250, 6.75781, 0.64062 
0.00031, 0.60156, 2.23438, 0.50000 
0.00063, -0.24219, -2.95312, 1.15625 
0.00094, 0.75781, -6.74219, 0.10156 
0.00125, 0.57031, -7.82812, 0.75000 
0.00156, 0.57812, -4.24219, 0.75781 
0.00187, 0.00000, 0.21094, 1.25000 
0.00219, -0.51562, 5.56250, 1.92188 
0.00250, 0.00000, 7.68750, 0.35156 
0.00281, -0.72656, 7.33594, 1.10156 
0.00313, 0.66406, 2.80469, 0.57812 
0.00344, -0.36719, -2.16406, 1.32812 
0.00375, 0.75781, -6.85938, 0.07031 
0.00406, 0.31250, -8.28125, 1.18750 
0.00438, 0.21875, -5.02344, 1.09375 
0.00469, 0.07031, -1.14844, 1.14062 
0.00500, 0.35938, 5.05469, 1.33594 
0.00531, -0.96094, 7.18750, 1.28906 
0.00562, 0.08594, 7.68750, 1.07812 
0.00594, -0.50000, 3.63281, 1.85938 
0.00625, 0.17969, -1.43750, 0.75000 
0.00656, 0.78906, -6.43750, -0.03125 
0.00688, 0.39844, -8.36719, 0.85156 
0.00719, 0.18750, -6.32031, 1.76562 
0.00750, 0.05469, -2.35156, 1.48438 
0.00781, 0.00781, 4.14062, 1.48438 
0.00813, -0.29688, 6.78906, 0.57812 
0.00844, 0.04688, 8.32031, 0.62500 
0.00875, -0.47656, 4.99219, 2.00781 
0.00906, 0.51562, -0.13281, 1.30469 
0.00937, 0.51562, -0.13281, 1.30469 
0.00969, 0.17969, -5.60156, 0.48438 
0.01000, 0.42969, -8.07812, 0.07812 
0.01031, 1.03906, -7.46875, 0.61719 
0.01063, -0.49219, -3.08594, 1.71094 
0.01094, 0.32031, 2.86719, 1.53906 
0.01125, -0.53906, 6.55469, 1.14062 
0.01156, 0.14844, 8.51562, 0.00000 
0.01188, -0.42188, 6.10156, 1.42969 
0.01219, 0.28906, 1.26562, 1.03125 
0.01250, 0.08594, -4.28906, 0.90625 
0.01281, 1.00000, -7.25781, -0.25781 
0.01312, 0.34375, -7.78125, 0.84375 
0.01344, 0.75781, -3.85938, 0.50000 
0.01375, -0.51562, 1.38281, 1.58594 
0.01406, -0.47656, 5.92188, 1.24219 
0.01438, -0.28906, 8.25781, 0.34375 
0.01469, -0.35156, 6.82031, 1.08594 
0.01500, 0.02344, 2.40625, 0.78125 
0.01531, -0.07031, -2.85156, 0.66406 
0.01562, 0.77344, -6.78125, 0.09375 
0.01594, 0.56250, -7.96094, 0.65625 
0.01625, -1.50000, -4.17969, 1.19531 
0.01656, 2.03125, 0.10156, 1.21875 
0.01688, -0.42188, 5.34375, 1.60938 
0.01719, -0.17188, 8.07031, 0.38281 
0.01750, 0.98438, 7.14844, 0.74219 
0.01781, -0.24219, 2.92969, 1.87500 
0.01812, -0.13281, -2.35938, 1.18750 
0.01844, 0.95312, -7.00000, 0.14844 
0.01875, 0.98438, -8.35938, 0.13281 
0.01906, 0.17969, -5.63281, 0.83594 
0.01937, -1.75000, -1.14844, 1.82031 
0.01969, 0.31250, 4.66406, 0.93750 
0.02000, -0.97656, 7.14844, 0.96094 
0.02031, -0.07812, 7.87500, 0.76562 
0.02063, -0.13281, 3.85938, 2.00000 
0.02094, 0.13281, -1.03125, 1.08594 
0.02125, 0.13281, -1.03125, 1.08594 
0.02156, 0.46094, -6.38281, 0.69531 
0.02188, 1.60938, -7.94531, -0.21094 
0.02219, 0.89844, -6.47656, 1.78906 
0.02250, -0.29688, -2.22656, 1.75781 
0.02281, 0.72656, 3.75000, 1.44531 
0.02312, -1.44531, 6.78906, 1.32031 
0.02344, 0.39062, 8.35938, 0.07031 
0.02375, -0.55469, 5.30469, 1.87500 
0.02406, -0.22656, 0.37500, 1.35156 
0.02438, 0.42188, -5.15625, 0.55469 
0.02469, 0.85938, -7.66406, -0.31250 
0.02500, 0.50000, -7.56250, 1.15625 
0.02531, 0.70312, -3.50781, 1.06250 
0.02563, -0.28906, 2.45312, 2.00000 
0.02594, -2.00781, 6.37500, 1.91406 
0.02625, 0.75781, 8.33594, -0.75781 
0.02656, -0.71094, 6.15625, 0.95312 
0.02687, 0.09375, 1.25000, 1.00781 
0.02719, 0.05469, -4.07031, 1.33594 
0.02750, 1.08594, -7.30469, -0.09375 
0.02781, -0.71094, -7.90625, 1.14062 
0.02813, 1.63281, -3.74219, 0.31250 
0.02844, -0.10156, 0.82031, 1.74219 
0.02875, -0.68750, 5.98438, 1.42969 
0.02906, 0.50000, 7.96094, 0.14844 
0.02938, -0.59375, 6.78906, 1.46094 
0.02969, 0.21875, 2.38281, 1.00000 
0.03000, -0.48438, -2.93750, 0.95312 
0.03031, 1.15625, -6.83594, -0.32812 
0.03062, 0.00000, -8.21094, 0.59375 
0.03094, 0.73438, -4.27344, 0.80469 
0.03125, -0.03906, -0.28906, 1.50000 
0.03156, -0.39062, 5.21875, 1.33594 
0.03188, -0.23438, 7.61719, 0.51562 
0.03219, -1.01562, 7.36719, 1.11719 
0.03250, 0.37500, 3.27344, 0.70312 
0.03281, -0.12500, -1.93750, 1.00000 
0.03313, 0.89844, -6.88281, 0.13281 
0.03344, 0.89844, -6.88281, 0.13281 
0.03375, 0.25000, -8.35156, 0.89062 
0.03406, 0.35156, -5.68750, 1.31250 
0.03438, -0.19531, -1.61719, 1.31250 
0.03469, 0.14844, 4.63281, 1.31250 
0.03500, -0.50000, 7.15625, 0.84375 
0.03531, 0.05469, 8.15625, 0.77344 
