time, x, y, z
0.00000, -0.21094, -0.25000, 0.97656 
0.00125, -0.15625, 0.08594, 1.00000 
0.00250, -0.17188, 0.14844, 1.00000 
0.00375, 0.04688, 0.17188, 0.75000 
0.00500, -0.18750, -0.07812, 1.00000 
0.00625, 0.00000, -0.12500, 0.84375 
0.00750, -0.18750, 0.21094, 1.10938 
0.00875, 0.00000, 0.17969, 0.86719 
0.01000, -0.15625, -0.05469, 0.99219 
0.01125, -0.06250, -0.13281, 0.80469 
0.01250, -0.15625, -0.03906, 0.95312 
0.01375, 0.03906, 0.15625, 0.83594 
0.01500, -0.11719, 0.14062, 1.00781 
0.01625, -0.03125, -0.01562, 0.78125 
0.01750, -0.28125, -0.11719, 1.03125 
0.01875, 0.21094, 0.00000, 0.77344 
0.02000, -0.10156, 0.17969, 1.00000 
0.02125, 0.07031, -0.03125, 0.83594 
0.02250, -0.15625, -0.08594, 0.95312 
0.02375, -0.10156, -0.15625, 0.93750 
0.02500, -0.03906, 0.10938, 1.00000 
0.02625, 0.00000, 0.14062, 0.93750 
0.02750, -0.23438, -0.10156, 0.97656 
0.02875, 0.00000, -0.09375, 0.67969 
0.03000, -0.25000, 0.03906, 1.08594 
0.03125, 0.01562, 0.18750, 0.91406 
0.03250, -0.14062, 0.11719, 0.93750 
0.03375, 0.03125, -0.07031, 0.82812 
0.03500, -0.31250, -0.03906, 1.00000 
0.03625, 0.11719, -0.03906, 0.94531 
0.03750, -0.12500, 0.17969, 1.00000 
0.03875, -0.07812, 0.15625, 0.77344 
0.04000, -0.21094, -0.07812, 0.94531 
0.04125, 0.00000, -0.14062, 0.80469 
0.04250, -0.17188, 0.13281, 1.04688 
0.04375, 0.00000, 0.14844, 0.87500 
0.04500, -0.20312, 0.03906, 1.05469 
0.04625, 0.00000, -0.17188, 0.81250 
0.04750, -0.15625, -0.11719, 0.89062 
0.04875, 0.00000, 0.09375, 0.89062 
0.05000, -0.16406, 0.12500, 1.00000 
0.05125, 0.01562, 0.00000, 0.82812 
0.05250, -0.12500, -0.14844, 0.93750 
0.05375, -0.12500, 0.02344, 0.93750 
0.05500, -0.10938, 0.09375, 1.03906 
0.05625, 0.07031, 0.02344, 0.82812 
0.05750, 0.00000, -0.09375, 0.75000 
0.05875, -0.21094, -0.17188, 1.02344 
0.06000, -0.07812, 0.08594, 0.85938 
0.06125, -0.05469, 0.16406, 0.98438 
0.06250, 0.00000, 0.02344, 0.82812 
0.06375, 0.01562, -0.17969, 0.82031 
0.06500, -0.24219, -0.02344, 0.97656 
0.06625, 0.06250, 0.17969, 0.85156 
0.06750, -0.18750, 0.12500, 1.02344 
0.06875, -0.08594, 0.03125, 0.96094 
0.07000, -0.06250, -0.16406, 0.85938 
0.07125, -0.25000, 0.05469, 1.05469 
0.07250, -0.00781, 0.17969, 1.05469 
0.07375, -0.01562, 0.18750, 0.84375 
0.07500, -0.15625, -0.09375, 0.94531 
0.07625, 0.00000, -0.10938, 0.91406 
0.07750, -0.10156, 0.10938, 1.00781 
0.07875, -0.01562, 0.11719, 0.92969 
0.08000, 0.06250, -0.03125, 0.80469 
0.08125, -0.23438, -0.11719, 1.01562 
0.08250, 0.04688, -0.11719, 0.83594 
0.08375, -0.12500, 0.19531, 1.09375 
0.08500, -0.08594, 0.08594, 0.90625 
0.08625, -0.17969, 0.04688, 0.88281 
0.08750, -0.03125, -0.06250, 0.86719 
0.08875, 0.00000, 0.09375, 0.89062 
0.09000, -0.21875, 0.25781, 0.92188 
0.09125, -0.07031, 0.03125, 1.10938 
0.09250, 0.07031, -0.03906, 0.83594 
0.09375, -0.25000, -0.08594, 1.09375 
0.09500, 0.04688, 0.00000, 0.85156 
0.09625, -0.14062, 0.18750, 0.98438 
0.09750, 0.00781, 0.00000, 0.81250 
0.09875, -0.08594, -0.05469, 0.89844 
0.10000, -0.09375, -0.07031, 0.91406 
0.10125, -0.06250, 0.18750, 0.98438 
0.10250, -0.03906, 0.17188, 0.85938 
0.10375, -0.21875, 0.00000, 0.94531 
0.10500, 0.14844, -0.20312, 0.72656 
0.10625, -0.23438, 0.00781, 0.99219 
0.10750, 0.02344, 0.22656, 0.93750 
0.10875, -0.14062, 0.17969, 0.89844 
0.11000, -0.10156, -0.14844, 0.83594 
0.11125, -0.16406, -0.16406, 0.96875 
0.11250, -0.12500, 0.09375, 0.96875 
0.11375, -0.09375, 0.19531, 0.95312 
0.11500, 0.06250, 0.10156, 0.84375 
0.11625, -0.19531, -0.10156, 1.00000 
0.11750, 0.00000, -0.16406, 0.84375 
0.11875, -0.14844, 0.20312, 1.07031 
0.12000, -0.03906, 0.17969, 0.89844 
0.12125, -0.15625, 0.08594, 0.94531 
0.12250, -0.05469, -0.11719, 0.79688 
0.12375, -0.12500, 0.04688, 0.93750 
0.12500, 0.00781, 0.19531, 0.89844 
0.12625, -0.27344, 0.17969, 1.13281 
0.12750, -0.04688, -0.03906, 0.77344 
0.12875, -0.16406, -0.10938, 1.03906 
0.13000, 0.03906, 0.02344, 0.94531 
0.13125, -0.10938, 0.19531, 0.95312 
0.13250, 0.00000, 0.06250, 0.80469 
0.13375, -0.17969, -0.05469, 0.92188 
0.13500, -0.04688, -0.09375, 0.93750 
0.13625, -0.09375, 0.11719, 0.99219 
0.13750, 0.00000, 0.12500, 0.92188 
0.13875, -0.13281, 0.01562, 0.96875 
0.14000, 0.08594, -0.15625, 0.85938 
0.14125, -0.19531, 0.00000, 1.00781 
0.14250, 0.00781, 0.12500, 0.85938 
0.14375, -0.19531, 0.14844, 1.00000 
0.14500, 0.00000, -0.03906, 0.78125 
0.14625, -0.17969, -0.08594, 0.90625 
0.14750, 0.03906, 0.00000, 0.89062 
0.14875, -0.14844, 0.20312, 0.98438 
0.15000, 0.00000, 0.17969, 0.82031 
0.15125, -0.22656, -0.08594, 1.00000 
0.15250, -0.02344, -0.11719, 0.85938 
0.15375, -0.19531, 0.17188, 1.03125 
0.15500, -0.01562, 0.21094, 0.92969 
0.15625, -0.25000, 0.00000, 0.96094 
0.15750, 0.06250, -0.13281, 0.71094 
0.15875, -0.10938, -0.07812, 0.94531 
0.16000, 0.00000, 0.19531, 0.92188 
0.16125, -0.13281, 0.14844, 0.82031 
0.16250, -0.03906, -0.00781, 0.87500 
0.16375, -0.19531, -0.14062, 1.04688 
0.16500, 0.03125, 0.00000, 0.85938 
0.16625, -0.15625, 0.20312, 0.99219 
0.16750, 0.01562, -0.03125, 0.75781 
0.16875, -0.15625, -0.12500, 1.05469 
0.17000, -0.10156, -0.15625, 0.84375 
0.17125, -0.14062, 0.12500, 1.00000 
0.17250, 0.00000, 0.16406, 0.92188 
0.17375, -0.22656, -0.11719, 0.96875 
0.17500, 0.07812, -0.10938, 0.74219 
0.17625, -0.25781, 0.00000, 1.00000 
0.17750, 0.00781, 0.21094, 0.82812 
0.17875, -0.25000, 0.13281, 0.95312 
0.18000, 0.05469, 0.00000, 0.70312 
0.18125, -0.18750, -0.10156, 0.89062 
0.18250, -0.10156, 0.00000, 0.94531 
0.18375, -0.08594, 0.19531, 0.99219 
0.18500, 0.00000, 0.17188, 0.92969 
0.18625, -0.24219, -0.10156, 0.98438 
0.18750, 0.10938, -0.15625, 0.78125 
0.18875, -0.31250, 0.10156, 1.10938 
0.19000, 0.06250, 0.19531, 0.85938 
0.19125, -0.13281, 0.01562, 1.02344 
0.19250, -0.11719, -0.03125, 0.87500 
